x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
4.3 ft,20.0 ft,4,04:02.0,Kevin Durant,MISS,3,26 ft
3.40 ft,20.4 ft,1,10:01.0,Kevin Durant,MAKE,3,27 ft
17.9 ft,20.2 ft,1,07:40.0,Kevin Durant,MAKE,2,18 ft
35.3 ft,4.08 ft,1,06:23.0,Kevin Durant,MAKE,2,11 ft
19.7 ft,24.7 ft,1,03:58.0,Kevin Durant,MISS,2,22 ft
23.5 ft,29.6 ft,1,03:46.0,Kevin Durant,MAKE,3,27 ft
23.4 ft,19.7 ft,1,01:42.0,Kevin Durant,MAKE,2,17 ft
23.7 ft,5.37 ft,2,03:10.0,Kevin Durant,MAKE,2,2 ft
19.7 ft,5.47 ft,3,09:32.0,Kevin Durant,MAKE,2,5 ft
18.4 ft,17.2 ft,3,08:10.0,Kevin Durant,MAKE,2,15 ft
30.0 ft,13.7 ft,3,04:21.0,Kevin Durant,MAKE,2,12 ft
14.7 ft,5.97 ft,3,03:18.0,Kevin Durant,MAKE,2,10 ft
26.1 ft,3.88 ft,3,00:06.0,Kevin Durant,MAKE,2,2 ft
39.0 ft,13.5 ft,1,10:16.0,Kevin Durant,MAKE,2,18 ft
31.1 ft,14.7 ft,1,07:31.0,Kevin Durant,MISS,2,14 ft
20.7 ft,13.1 ft,1,05:09.0,Kevin Durant,MAKE,2,10 ft
37.9 ft,25.5 ft,1,02:29.0,Kevin Durant,MAKE,3,26 ft
25.4 ft,14.8 ft,1,01:48.0,Kevin Durant,MAKE,2,12 ft
34.0 ft,16.1 ft,2,02:09.0,Kevin Durant,MAKE,2,16 ft
13.3 ft,11.7 ft,2,01:34.0,Kevin Durant,MAKE,2,14 ft
28.2 ft,15.0 ft,3,11:47.0,Kevin Durant,MISS,2,13 ft
23.9 ft,6.97 ft,3,10:26.0,Kevin Durant,MAKE,2,4 ft
21.0 ft,18.9 ft,3,06:59.0,Kevin Durant,MISS,2,16 ft
47.1 ft,11.2 ft,3,04:45.0,Kevin Durant,MAKE,3,25 ft
26.6 ft,6.77 ft,3,03:05.0,Kevin Durant,MAKE,2,4 ft
15.5 ft,6.37 ft,4,05:40.0,Kevin Durant,MISS,2,9 ft
13.8 ft,5.77 ft,4,05:37.0,Kevin Durant,MISS,2,10 ft
31.4 ft,3.18 ft,4,04:30.0,Kevin Durant,MISS,2,7 ft
28.5 ft,14.0 ft,4,03:11.0,Kevin Durant,MAKE,2,12 ft
39.8 ft,23.5 ft,4,02:36.0,Kevin Durant,MAKE,3,26 ft
41.6 ft,2.58 ft,1,11:20.0,Kevin Durant,MAKE,2,18 ft
6.5 ft,20.7 ft,1,10:58.0,Kevin Durant,MISS,3,25 ft
25.0 ft,3.78 ft,1,10:09.0,Kevin Durant,MAKE,2,1 ft
47.5 ft,2.19 ft,1,08:40.0,Kevin Durant,MAKE,3,24 ft
24.0 ft,3.58 ft,1,07:29.0,Kevin Durant,MISS,2,0 ft
36.8 ft,7.16 ft,1,05:58.0,Kevin Durant,MISS,2,13 ft
39.3 ft,23.2 ft,2,06:02.0,Kevin Durant,MAKE,3,25 ft
38.8 ft,24.6 ft,2,04:02.0,Kevin Durant,MISS,3,26 ft
32.0 ft,7.86 ft,2,03:23.0,Kevin Durant,MAKE,2,9 ft
40.8 ft,11.9 ft,2,02:26.0,Kevin Durant,MISS,2,19 ft
38.2 ft,25.1 ft,3,10:38.0,Kevin Durant,MISS,3,26 ft
39.8 ft,11.2 ft,3,10:02.0,Kevin Durant,MAKE,2,18 ft
28.4 ft,15.1 ft,3,09:34.0,Kevin Durant,MAKE,2,13 ft
35.5 ft,28.0 ft,3,09:02.0,Kevin Durant,MISS,3,27 ft
8.7 ft,2.58 ft,3,05:33.0,Kevin Durant,MISS,2,15 ft
30.0 ft,16.2 ft,4,05:33.0,Kevin Durant,MAKE,2,14 ft
28.5 ft,2.29 ft,4,02:48.0,Kevin Durant,MAKE,2,5 ft
28.1 ft,8.66 ft,1,10:33.0,Kevin Durant,MAKE,2,7 ft
31.3 ft,17.7 ft,1,09:04.0,Kevin Durant,MAKE,2,16 ft
18.9 ft,5.87 ft,1,06:31.0,Kevin Durant,MISS,2,6 ft
37.3 ft,27.1 ft,1,06:10.0,Kevin Durant,MAKE,3,27 ft
18.2 ft,3.38 ft,1,03:13.0,Kevin Durant,MISS,2,6 ft
1.2 ft,2.38 ft,1,03:10.0,Kevin Durant,MAKE,3,23 ft
24.3 ft,16.7 ft,1,01:54.0,Kevin Durant,MISS,2,14 ft
31.5 ft,12.8 ft,2,05:46.0,Kevin Durant,MISS,2,12 ft
32.0 ft,20.7 ft,2,02:22.0,Kevin Durant,MISS,2,19 ft
