x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE,team
24.0 ft,2.88 ft,3.0,6:28.0,Kevin Durant,MAKE,2.0,0 ft,
12.1 ft,25.5 ft,3.0,5:59.0,Kevin Durant,MAKE,3.0,25 ft,
24.2 ft,7.76 ft,3.0,5:32.0,Kevin Durant,MISS,2.0,5 ft,
14.7 ft,27.1 ft,3.0,3:35.0,Kevin Durant,MAKE,3.0,26 ft,
30.0 ft,28.6 ft,3.0,3:10.0,Kevin Durant,MISS,3.0,26 ft,
24.7 ft,3.38 ft,3.0,2:50.0,Kevin Durant,MAKE,2.0,1 ft,
15.2 ft,9.26 ft,4.0,11:16.0,Kevin Durant,MAKE,2.0,11 ft,
33.4 ft,27.7 ft,4.0,9:42.0,Kevin Durant,MAKE,3.0,26 ft,
34.3 ft,13.6 ft,4.0,8:21.0,Kevin Durant,MAKE,2.0,15 ft,
11.1 ft,6.67 ft,4.0,7:18.0,Kevin Durant,MAKE,2.0,13 ft,
35.3 ft,9.55 ft,4.0,6:38.0,Kevin Durant,MAKE,2.0,13 ft,
11.4 ft,27.0 ft,4.0,4:35.0,Kevin Durant,MAKE,3.0,27 ft,
34.8 ft,15.2 ft,4.0,3:25.0,Kevin Durant,MISS,2.0,16 ft,
27.8 ft,13.3 ft,1.0,8:25.0,Kevin Durant,MAKE,2.0,11 ft,
38.5 ft,17.2 ft,1.0,7:55.0,Kevin Durant,MAKE,2.0,20 ft,
25.7 ft,14.5 ft,1.0,6:40.0,Kevin Durant,MISS,2.0,11 ft,
23.9 ft,13.0 ft,1.0,5:12.0,Kevin Durant,MISS,2.0,10 ft,
17.1 ft,3.88 ft,2.0,7:53.0,Kevin Durant,MISS,2.0,7 ft,
34.5 ft,20.5 ft,2.0,7:21.0,Kevin Durant,MISS,2.0,20 ft,
27.1 ft,14.7 ft,2.0,6:50.0,Kevin Durant,MISS,2.0,12 ft,
30.2 ft,16.8 ft,2.0,6:09.0,Kevin Durant,MISS,2.0,15 ft,
37.4 ft,12.6 ft,2.0,5:37.0,Kevin Durant,MAKE,2.0,16 ft,
33.0 ft,8.56 ft,2.0,3:38.0,Kevin Durant,MISS,2.0,10 ft,
24.5 ft,2.88 ft,2.0,2:29.0,Kevin Durant,MAKE,2.0,1 ft,
36.7 ft,24.4 ft,2.0,0:45.0,Kevin Durant,MISS,3.0,25 ft,
23.1 ft,15.0 ft,3.0,11:07.0,Kevin Durant,MAKE,2.0,12 ft,
23.7 ft,29.2 ft,3.0,9:17.0,Kevin Durant,MAKE,3.0,26 ft,
23.3 ft,10.5 ft,3.0,5:24.0,Kevin Durant,MAKE,2.0,7 ft,
30.0 ft,5.87 ft,4.0,8:19.0,Kevin Durant,MAKE,2.0,7 ft,
26.0 ft,17.1 ft,4.0,5:46.0,Kevin Durant,MAKE,2.0,14 ft,
32.7 ft,11.7 ft,4.0,5:20.0,Kevin Durant,MISS,2.0,12 ft,
10.1 ft,24.4 ft,4.0,4:17.0,Kevin Durant,MISS,3.0,25 ft,
39.7 ft,5.77 ft,4.0,2:55.0,Kevin Durant,MISS,2.0,16 ft,
23.0 ft,29.5 ft,4.0,0:36.0,Kevin Durant,MAKE,3.0,26 ft,
40.3 ft,5.97 ft,1.0,8:03.0,Kevin Durant,MAKE,2.0,17 ft,
33.5 ft,17.7 ft,1.0,4:20.0,Kevin Durant,MISS,2.0,17 ft,
26.3 ft,29.3 ft,1.0,3:33.0,Kevin Durant,MISS,3.0,26 ft,
18.5 ft,7.36 ft,2.0,11:18.0,Kevin Durant,MISS,2.0,7 ft,
23.9 ft,3.68 ft,2.0,10:18.0,Kevin Durant,MAKE,2.0,0 ft,
33.3 ft,30.4 ft,2.0,8:58.0,Kevin Durant,MAKE,3.0,29 ft,
14.6 ft,26.3 ft,2.0,8:31.0,Kevin Durant,MISS,3.0,25 ft,
23.3 ft,5.77 ft,2.0,6:06.0,Kevin Durant,MISS,2.0,3 ft,
24.3 ft,4.18 ft,2.0,3:44.0,Kevin Durant,MAKE,2.0,1 ft,
26.4 ft,29.0 ft,3.0,7:14.0,Kevin Durant,MISS,3.0,26 ft,
35.3 ft,25.6 ft,3.0,3:40.0,Kevin Durant,MISS,3.0,25 ft,
24.7 ft,2.19 ft,3.0,1:38.0,Kevin Durant,MAKE,2.0,1 ft,
30.0 ft,28.5 ft,3.0,1:15.0,Kevin Durant,MISS,3.0,26 ft,
18.9 ft,10.5 ft,3.0,0:46.0,Kevin Durant,MISS,2.0,9 ft,
19.7 ft,15.5 ft,3.0,0:39.0,Kevin Durant,MISS,2.0,13 ft,
23.5 ft,3.28 ft,3.0,0:04.0,Kevin Durant,MAKE,2.0,0 ft,
31.1 ft,28.1 ft,4.0,8:25.0,Kevin Durant,MAKE,3.0,26 ft,
41.5 ft,22.0 ft,4.0,7:05.0,Kevin Durant,MAKE,3.0,26 ft,
11.7 ft,14.3 ft,4.0,5:22.0,Kevin Durant,MAKE,2.0,17 ft,
10.0 ft,11.4 ft,4.0,2:16.0,Kevin Durant,MAKE,2.0,16 ft,
47.3 ft,7.96 ft,1.0,10:11.0,Kevin Durant,MAKE,3.0,24 ft,
17.7 ft,8.96 ft,1.0,7:55.0,Kevin Durant,MAKE,2.0,9 ft,
24.9 ft,3.68 ft,1.0,7:05.0,Kevin Durant,MISS,2.0,1 ft,
9.2 ft,24.5 ft,1.0,4:00.0,Kevin Durant,MISS,3.0,26 ft,
24.0 ft,8.26 ft,1.0,3:47.0,Kevin Durant,MISS,2.0,5 ft,
22.2 ft,3.78 ft,2.0,7:03.0,Kevin Durant,MAKE,2.0,2 ft,
0.6 ft,3.58 ft,2.0,4:03.0,Kevin Durant,MISS,3.0,23 ft,
22.5 ft,4.58 ft,2.0,3:37.0,Kevin Durant,MISS,2.0,2 ft,
39.0 ft,23.3 ft,3.0,9:42.0,Kevin Durant,MAKE,3.0,25 ft,
33.0 ft,26.7 ft,3.0,9:19.0,Kevin Durant,MAKE,3.0,25 ft,
25.4 ft,16.2 ft,3.0,7:17.0,Kevin Durant,MAKE,2.0,13 ft,
21.2 ft,10.0 ft,3.0,3:50.0,Kevin Durant,MAKE,2.0,7 ft,
46.8 ft,5.27 ft,3.0,0:09.0,Kevin Durant,MAKE,3.0,23 ft,
33.5 ft,11.7 ft,4.0,8:25.0,Kevin Durant,MAKE,2.0,13 ft,
12.0 ft,25.2 ft,4.0,7:31.0,Kevin Durant,MISS,3.0,25 ft,
20.8 ft,4.87 ft,4.0,6:47.0,Kevin Durant,MISS,2.0,4 ft,
38.4 ft,5.37 ft,4.0,5:09.0,Kevin Durant,MAKE,2.0,15 ft,
37.5 ft,16.6 ft,4.0,4:39.0,Kevin Durant,MISS,2.0,19 ft,
11.7 ft,11.2 ft,4.0,1:08.0,Kevin Durant,MAKE,2.0,15 ft,
13.9 ft,11.9 ft,1.0,10:06.0,Kevin Durant,MISS,2.0,13 ft,
10.2 ft,24.7 ft,1.0,9:43.0,Kevin Durant,MISS,3.0,26 ft,
24.7 ft,3.58 ft,1.0,8:38.0,Kevin Durant,MISS,2.0,1 ft,
20.2 ft,12.6 ft,1.0,8:22.0,Kevin Durant,MAKE,2.0,10 ft,
23.3 ft,29.1 ft,1.0,6:11.0,Kevin Durant,MISS,3.0,26 ft,
10.2 ft,25.0 ft,1.0,2:46.0,Kevin Durant,MISS,3.0,26 ft,
22.8 ft,4.77 ft,1.0,2:27.0,Kevin Durant,MISS,2.0,2 ft,
37.9 ft,25.1 ft,2.0,5:03.0,Kevin Durant,MISS,3.0,26 ft,
23.9 ft,4.08 ft,2.0,3:38.0,Kevin Durant,MAKE,2.0,1 ft,
22.6 ft,13.8 ft,2.0,1:31.0,Kevin Durant,MISS,2.0,11 ft,
39.0 ft,24.4 ft,2.0,1:08.0,Kevin Durant,MISS,3.0,26 ft,
20.5 ft,27.7 ft,3.0,9:44.0,Kevin Durant,MISS,3.0,25 ft,
26.3 ft,11.2 ft,3.0,8:19.0,Kevin Durant,MISS,2.0,8 ft,
28.2 ft,18.7 ft,3.0,4:58.0,Kevin Durant,MAKE,2.0,16 ft,
6.2 ft,21.2 ft,3.0,3:56.0,Kevin Durant,MAKE,3.0,25 ft,
36.3 ft,24.9 ft,3.0,2:40.0,Kevin Durant,MISS,3.0,25 ft,
25.3 ft,3.28 ft,3.0,1:50.0,Kevin Durant,MISS,2.0,1 ft,
40.8 ft,22.2 ft,4.0,8:03.0,Kevin Durant,MAKE,3.0,25 ft,
11.2 ft,24.7 ft,4.0,7:36.0,Kevin Durant,MISS,3.0,25 ft,
16.2 ft,26.7 ft,4.0,6:47.0,Kevin Durant,MAKE,3.0,25 ft,
11.7 ft,25.1 ft,4.0,6:12.0,Kevin Durant,MISS,3.0,25 ft,
